Country,HDI,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita
Country,Value,(years),(years),(years),(2021 PPP $)
Iraq,0.695,72.324,12.35940135,6.780046287,12653.52469
Tajikistan,0.691,71.79,10.84980801,11.27094825,5746.568969
Tuvalu,0.689,67.105,12.37506862,10.76746107,7005.520781
Bangladesh,0.685,74.672,12.31016827,6.789999962,8497.658639
India,0.685,72.003,12.95454025,6.880000114,9046.756336
El Salvador,0.678,72.099,11.11291027,7.300000191,10594.84201
Equatorial Guinea,0.674,63.707,12.49119511,8.281327014,12762.46845
"Palestine, State of",0.674,65.17,12.99800968,10.13000011,6547.098635
Cabo Verde,0.668,76.059,11.36709717,6.09003905,8165.379172
Namibia,0.665,67.385,11.78505588,7.273146745,10916.60872
Guatemala,0.662,72.602,10.67763042,5.847300053,12458.604
Congo,0.649,65.772,12.68194711,8.322644792,5902.599066
Honduras,0.645,72.884,10.16220647,7.510229074,6064.785783
Kiribati,0.644,66.473,11.87390648,9.128581569,4947.280426
Sao Tome and Principe,0.637,69.718,12.8567099,5.987559175,5583.423335
Timor-Leste,0.634,67.689,13.25306303,6.226580551,5434.594692
Ghana,0.628,65.498,11.41845989,7.107210159,6846.352204
Kenya,0.628,63.646,11.47407573,8.624710083,5608.296066
Nepal,0.622,70.354,13.75430393,4.50372982,4725.930613
Vanuatu,0.621,71.477,11.81160992,7.183209727,3403.690193
Lao People's Democratic Republic,0.617,68.964,9.605483055,6.06024616,8106.153218
Angola,0.616,64.617,12.1676,5.956173009,6631.276544
Micronesia (Federated States of),0.615,67.198,11.54008512,7.33252398,4245.878243
Myanmar,0.609,66.889,11.50456047,6.380000114,4918.810577
Cambodia,0.606,70.668,11.19789219,5.197100163,4931.016842
Comoros,0.603,66.777,13.29446063,6.006840229,3481.12144
Zimbabwe,0.598,62.775,11.05745312,8.930847216,3511.463215
Zambia,0.595,66.349,11.02052892,7.397408543,3446.675821
Cameroon,0.588,63.7,10.79187965,6.574180412,4746.26582
Solomon Islands,0.584,70.528,11.31304207,5.8796802,2777.266749
Côte d'Ivoire,0.582,61.944,11.41112995,4.869999886,6735.416265
Uganda,0.582,68.252,11.56404819,6.323663082,2736.410021
Rwanda,0.578,67.785,12.59045029,4.880000114,2970.559461
Papua New Guinea,0.576,66.134,11.51107187,4.962531078,3970.647707
Togo,0.571,62.739,13.09642387,5.861114619,2855.963828
Syrian Arab Republic,0.564,72.12,7.418754527,5.935520062,3917.702385
Mauritania,0.563,68.484,7.949540636,4.852025862,6267.470808
Nigeria,0.56,54.462,10.51407,7.585969925,5569.374975
Tanzania (United Republic of),0.555,66.995,8.585740089,6.065350056,3514.632861
Haiti,0.554,64.936,10.89635878,5.3822999,2934.925802
Lesotho,0.55,57.375,10.98659352,7.729883486,3029.3857
Pakistan,0.544,67.649,7.89510849,4.316987038,5501.132932
Senegal,0.53,68.683,9.142709732,2.934554012,4202.030729
Gambia,0.524,65.86,8.977899686,4.674727154,2812.017602
Congo (Democratic Republic of the),0.522,61.895,10.91147386,7.378561086,1431.047931
Malawi,0.517,67.353,9.902591705,5.243740082,1633.692615
Benin,0.515,60.774,10.4464798,3.194200039,3805.527516
Guinea-Bissau,0.514,64.085,10.63534621,3.673035,2403.059237
Djibouti,0.513,65.987,6.207350016,3.95041503,6367.606026
Sudan,0.511,66.331,8.620371878,3.962,2810.312012
Liberia,0.51,62.163,10.46585369,6.169891955,1537.85939
Eritrea,0.503,68.624,7.336672297,5.09136442,2029.070062
Guinea,0.5,60.74,10.39330626,2.486339025,3494.347723
Ethiopia,0.497,67.315,9.217651571,2.402539813,2795.506984
Afghanistan,0.496,66.035,10.79014324,2.514790058,1971.549458
Mozambique,0.493,63.611,10.84830885,4.590489864,1355.767076
Madagascar,0.487,63.632,9.062584503,4.592520237,1655.764683
Yemen,0.47,69.295,7.494902735,5.484149933,1018.20058
Sierra Leone,0.467,61.786,9.064124575,3.535297609,1713.727772
Burkina Faso,0.459,61.092,8.733340263,2.266550064,2390.527778
Burundi,0.439,63.651,9.829423879,3.473935556,858.9155681
Mali,0.419,60.439,7.011331533,1.629999995,2341.588118
Niger,0.419,61.183,8.308919801,1.412289341,1590.18796
Chad,0.416,55.069,8.347590231,2.334984892,1748.000992
Central African Republic,0.414,57.408,7.435767778,3.989431459,1099.860681
Somalia,0.404,58.816,7.486165162,1.899999976,1474.738459
South Sudan,0.388,57.617,5.634770141,5.730000019,688.3472771
Other countries or territories,,,,,
Korea (Democratic People's Rep. of),..,73.642,12.20215329,..,..
Monaco,..,86.372,21.6872406,..,..
Human development groups,,,,,
Developing countries,0.712,72.02037604430481,12.654804615352214,7.75558473138864,13300.966251258846
Regions,,,,,
Arab States,0.719,72.46851707157701,11.965759666595003,8.071574176777197,15824.501228365296
East Asia and the Pacific,0.775,75.91241428453144,14.590005501364358,8.25822787813953,19519.80012176473
Europe and Central Asia,0.818,74.78936325946322,15.55734509317559,10.696732323275505,23171.472177407966
Latin America and the Caribbean,0.783,75.61125553519801,14.772934084286774,9.12951795301269,18047.95616324888
South Asia,0.672,71.86941510683957,12.148221229449977,6.793585591787748,8722.022591586345
Sub-Saharan Africa,0.568,62.506276568679844,10.34560970495754,6.163414190646486,4351.5549195905705
Least developed countries,0.56,66.51610026074621,10.170740695382651,5.051676057051539,3637.195380667065
Small island developing states,0.739,71.86289126876027,12.613778929194082,8.604207589827041,19343.12171683203
Organisation for Economic Co-operation and Development,0.916,80.57029927450297,16.504431287757832,12.347757577738268,52697.597733953444
World,0.756,73.3833980346371,13.040365957534462,8.775209151620453,20327.308722627044
Notes,,,,,
a. Data refer to 2023 or the most recent year available.,,,,,
b. Based on countries for which a Human Development Index (HDI) value is calculated.,,,,,
"c. In calculating the HDI value, expected years of schooling is capped at 18 years.",,,,,
d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2024).,,,,,
e. Updated by HDRO based on data from UNESCO Institute for Statistics (2024).,,,,,
"f. In calculating the HDI value, GNI per capita is capped at $75,000.",,,,,
"g. In calculating the HDI value, life expectancy is capped at 85 years.",,,,,
h. Updated by HDRO using the mean years of schooling trend of Austria and data from UNESCO Institute for Statistics (2024).,,,,,
i. Estimated using the purchasing power parity (PPP) rate and projected growth rate of Switzerland.,,,,,
j. Updated by HDRO based on data from Eurostat (2024) and UNESCO Institute for Statistics (2024) .,,,,,
k. Refers to 2015 based on UNESCO Institute for Statistics (2024).,,,,,
"l. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics. ",,,,,
m. Refers to 2020 based on UNESCO Institute for Statistics (2024).,,,,,
"n. HDRO estimate based on data from the Center for Distributive, Labor and Social Studies and the World Bank’s Socio-Economic Database for Latin America and the Caribbean, ICF Macro Demographic and Health Surveys, the UNESCO Institute for Statistics and UNICEF Multiple Indicator Cluster Surveys.",,,,,
o. Updated by HDRO based on data from UNICEF Multiple Indicator Cluster Surveys for various years and UNESCO Institute for Statistics (2024).,,,,,
